0.55	11.6174	0.266209
0.65	8.79438	0.1745
0.75	6.51374	0.12079
0.85	4.87565	0.0878658
0.95	3.39261	0.0583217
1.05	2.41429	0.0385167
1.15	1.68851	0.0255018
1.25	1.23605	0.0181914
1.35	0.891124	0.0127743
1.45	0.6364	0.00884978
1.55	0.464076	0.00637498
1.65	0.337947	0.00452997
1.75	0.251243	0.00333553
1.85	0.182618	0.00237609
1.95	0.141444	0.00185659
2.1	0.0908817	0.000830013
2.3	0.0527849	0.00048154
2.5	0.0295279	0.000274028
2.7	0.0171211	0.000169323
2.9	0.0103212	0.000112631
3.25	0.00459976	4.00161e-05
3.75	0.00157442	2.06889e-05
